Player,Tier,Team,Opponent,Projected Points
P. Nacua,1,LA,SEA,25.25
J. Smith-Njigba,1,SEA,LA,25.07
B. Robinson,1,ATL,CAR,24.86
J. Allen,1,BUF,TB,24.24
C. McCaffrey,1,SF,ARI,24.07
L. Jackson,1,BAL,CLE,23.3
J. Hurts,2,PHI,DET,22.52
J. Herbert,2,LAC,JAC,21.29
J. Jacobs,2,GB,NYG,21.07
C. Lamb,2,DAL,LV,20.75
P. Mahomes,2,KC,DEN,20.7
J. Gibbs,2,DET,PHI,20.58
D. Prescott,3,DAL,LV,20.07
J. Dart,3,NYG,GB,19.73
B. Purdy,3,SF,ARI,19.49
A. St. Brown,3,DET,PHI,19.45
B. Mayfield,3,TB,BUF,19.15
A. Rodgers,3,PIT,CIN,19.07
J. Williams,4,DAL,LV,18.97
G. Smith,4,LV,DAL,18.87
J. Chase,4,CIN,PIT,18.87
C. Stroud,4,HOU,TEN,18.5
J. Goff,4,DET,PHI,18.45
B. Nix,4,DEN,KC,18.29
J. Love,5,GB,NYG,17.79
J. McCarthy,5,MIN,CHI,17.52
J. Jefferson,5,MIN,CHI,17.45
M. Stafford,5,LA,SEA,17.44
A. Jeanty,5,LV,DAL,17.41
N. Collins,5,HOU,TEN,17.38
J. Brissett,6,ARI,SF,17.33
D. London,6,ATL,CAR,17.24
B. Bowers,6,LV,DAL,17.19
T. McBride,6,ARI,SF,17.04
S. Darnold,6,SEA,LA,17.04
C. Williams,6,CHI,MIN,16.95
T. Lawrence,7,JAC,LAC,16.8
R. Rice,7,KC,DEN,16.62
R. Dowdle,7,CAR,ATL,16.57
B. Young,7,CAR,ATL,16.51
S. Barkley,7,PHI,DET,16.23
J. Warren,7,PIT,CIN,15.84
M. Penix Jr.,8,ATL,CAR,15.84
K. Williams,8,LA,SEA,15.47
A. Brown,8,PHI,DET,15.39
D. Adams,8,LA,SEA,15.3
J. Flacco,8,CIN,PIT,15.27
J. Cook III,8,BUF,TB,15.23
D. Henry,8,BAL,CLE,15.21
D. Smith,8,PHI,DET,15.03
Z. Flowers,8,BAL,CLE,14.63
R. White,8,TB,BUF,14.4
L. McConkey,8,LAC,JAC,14.4
G. Pickens,8,DAL,LV,14.34
K. Vidal,8,LAC,JAC,14.28
T. Etienne Jr.,8,JAC,LAC,14.27
G. Kittle,8,SF,ARI,14.16
D. Metcalf,8,PIT,CIN,14.07
C. Brown,8,CIN,PIT,14.02
Q. Judkins,8,CLE,BAL,13.81
D. Gabriel,8,CLE,BAL,13.75
W. Marks,8,HOU,TEN,13.74
W. Robinson,8,NYG,GB,13.59
E. Egbuka,8,TB,BUF,13.58
T. McMillan,8,CAR,ATL,13.45
K. Shakir,8,BUF,TB,13.42
T. Higgins,8,CIN,PIT,13.27
A. Jones Sr.,8,MIN,CHI,13.08
K. Allen,8,LAC,JAC,13.08
C. Sutton,8,DEN,KC,12.86
D. Swift,8,CHI,MIN,12.77
R. Odunze,8,CHI,MIN,12.7
R. Pearsall,8,SF,ARI,12.59
C. Ward,8,TEN,HOU,12.56
T. Tucker,8,LV,DAL,12.47
S. LaPorta,8,DET,PHI,12.46
B. Thomas Jr.,8,JAC,LAC,12.29
J. Addison,8,MIN,CHI,12.02
M. Harrison Jr.,8,ARI,SF,11.97
O. Gadsden,8,LAC,JAC,11.48
R. Doubs,8,GB,NYG,11.4
D. Goedert,8,PHI,DET,11.31
J. Ferguson,8,DAL,LV,11.3
T. Kelce,8,KC,DEN,11.04
J. Williams,8,DET,PHI,11.03
Q. Johnston,8,LAC,JAC,10.96
E. Demercado,8,ARI,SF,10.71
K. Gainwell,8,PIT,CIN,10.67
D. Montgomery,8,DET,PHI,10.58
D. Schultz,8,HOU,TEN,10.51
D. Slayton,8,NYG,GB,10.51
X. Worthy,8,KC,DEN,10.27
J. Jennings,8,SF,ARI,10.24
R. Harvey,8,DEN,KC,10.21
C. Kirk,8,HOU,TEN,10.03
K. Pitts Sr.,8,ATL,CAR,9.88
P. Washington,8,JAC,LAC,9.79
T. Tracy Jr.,8,NYG,GB,9.58
C. Otton,8,TB,BUF,9.52
C. Austin III,8,PIT,CIN,9.43
T. Spears,8,TEN,HOU,9.39
T. Hockenson,8,MIN,CHI,9.33
T. Johnson,8,NYG,GB,9.33
H. Fannin Jr.,8,CLE,BAL,9.25
K. Coleman,8,BUF,TB,9.23
C. Ridley,8,TEN,HOU,9.2
M. Andrews,8,BAL,CLE,9.14
D. Moore,8,CHI,MIN,9.11
C. Watson,8,GB,NYG,9.11
K. Walker III,8,SEA,LA,9.11
J. Meyers,8,JAC,LAC,9.06
Z. Charbonnet,8,SEA,LA,8.94
J. Dobbins,8,DEN,KC,8.9
D. Njoku,8,CLE,BAL,8.81
T. Johnson,8,TB,BUF,8.72
T. Franklin,8,DEN,KC,8.57
C. Loveland,8,CHI,MIN,8.57
D. Singletary,8,NYG,GB,8.54
J. Smith,8,PIT,CIN,8.51
D. Mooney,8,ATL,CAR,8.42
O. Zaccheaus,8,CHI,MIN,8.41
L. Musgrave,8,GB,NYG,8.31
E. Ayomanor,8,TEN,HOU,8.21
T. Allgeier,8,ATL,CAR,8.2
S. Tucker,8,TB,BUF,8.15
T. Pollard,8,TEN,HOU,8.15
R. Shaheed,8,SEA,LA,8.15
M. Mims Jr.,8,DEN,KC,8.14
E. Engram,8,DEN,KC,8.1
J. Bech,8,LV,DAL,7.94
K. Monangai,8,CHI,MIN,7.9
J. Coker,8,CAR,ATL,7.77
C. Dike,8,TEN,HOU,7.67
J. Jeudy,8,CLE,BAL,7.63
C. Tillman,8,CLE,BAL,7.63
X. Legette,8,CAR,ATL,7.54
N. Chubb,8,HOU,TEN,7.45
J. Mason,8,MIN,CHI,7.43
K. Bourne,8,SF,ARI,7.16
D. Knox,8,BUF,TB,6.99
N. Fant,8,CIN,PIT,6.92
A. Barner,8,SEA,LA,6.92
K. Hunt,8,KC,DEN,6.75
I. Pacheco,8,KC,DEN,6.72
C. Okonkwo,8,TEN,HOU,6.61
P. Freiermuth,8,PIT,CIN,6.5
M. Wilson,8,ARI,SF,6.27
T. Johnson,8,BUF,TB,6.25
C. Kupp,8,SEA,LA,6.14
J. Sanders,8,CAR,ATL,6.0
S. Shepard,8,TB,BUF,5.94
S. Perine,8,CIN,PIT,5.9
E. Wilson,8,GB,NYG,5.83
B. Tuten,8,JAC,LAC,5.74
K. Turpin,8,DAL,LV,5.73
J. Ford,8,CLE,BAL,5.65
R. Bateman,8,BAL,CLE,5.63
J. Palmer,8,BUF,TB,5.53
T. Horton,8,SEA,LA,5.38
I. Likely,8,BAL,CLE,5.36
R. Wilson,8,PIT,CIN,5.27
J. Nailor,8,MIN,CHI,5.2
A. Iosivas,8,CIN,PIT,5.13
M. Mayer,8,LV,DAL,5.08
J. Hill,8,BAL,CLE,4.99
H. Brown,8,KC,DEN,4.98
T. Lockett,8,LV,DAL,4.75
G. Helm,8,TEN,HOU,4.71
E. Arroyo,8,SEA,LA,4.6
D. Washington,8,PIT,CIN,4.6
L. Burden III,8,CHI,MIN,4.57
J. Higgins,8,HOU,TEN,4.52
J. Whittington,8,LA,SEA,4.42
R. Mostert,8,LV,DAL,4.37
D. Hopkins,8,BAL,CLE,4.25
X. Hutchinson,8,HOU,TEN,4.21
J. Hawes,8,BUF,TB,4.03
B. Smith,8,KC,DEN,4.03
B. Corum,8,LA,SEA,4.02
T. Higbee,8,LA,SEA,4.01
J. Smith-Schuster,8,KC,DEN,3.99
P. Bryant,8,DEN,KC,3.98
